2022-08-22 01:15:16,romonlyht,ip,150.223.73.225,#phishing,https://twitter.com/romonlyht/status/1561522357360988160
2022-08-22 01:15:22,ecarlesi,url,https://screencapture4k.xyz/instagram/login.html,#phishing,https://twitter.com/ecarlesi/status/1561522383793623046
2022-08-22 01:16:38,romonlyht,url,https://qtoiq4jbdkjlfa.club/jp,#phishing,https://twitter.com/romonlyht/status/1561522703814647808
2022-08-22 01:16:38,romonlyht,ip,36.103.223.248,#phishing,https://twitter.com/romonlyht/status/1561522703814647808
2022-08-22 01:17:56,romonlyht,url,https://iotuyoqhk3bx.club/jp,#phishing,https://twitter.com/romonlyht/status/1561523028558680067
2022-08-22 01:17:56,romonlyht,ip,60.164.245.12,#phishing,https://twitter.com/romonlyht/status/1561523028558680067
2022-08-22 01:19:11,romonlyht,url,https://iwqjdcb3kdka.club/jp,#phishing,https://twitter.com/romonlyht/status/1561523343114743808
2022-08-22 01:19:11,romonlyht,ip,203.57.228.183,#phishing,https://twitter.com/romonlyht/status/1561523343114743808
2022-08-22 01:19:11,romonlyht,ip,192.3.105.52,#phishing,https://twitter.com/romonlyht/status/1561523343114743808
2022-08-22 01:20:42,nevaluoto,domain,asics-outletsuomi.com,#phishing,https://twitter.com/nevaluoto/status/1561523726537338880
2022-08-22 01:27:07,pingineer_jp,ip,204.152.210.139,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525341352370176
2022-08-22 01:27:07,pingineer_jp,domain,support-amaz0n.club,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525341352370176
2022-08-22 01:27:13,pingineer_jp,domain,www2.amazaon.co.jp.login.mvtttqy.cn,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525363830046722
2022-08-22 01:27:13,pingineer_jp,ip,155.94.146.82,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525363830046722
2022-08-22 01:27:18,pingineer_jp,domain,etac.co-jp.urdnetsc.zhilianwangjia.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525386038870016
2022-08-22 01:27:18,pingineer_jp,ip,167.172.108.211,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525386038870016
2022-08-22 01:27:23,pingineer_jp,domain,etac.co.jp-quendto.hwsq.com.cn,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525408083746818
2022-08-22 01:27:23,pingineer_jp,ip,167.172.174.23,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525408083746818
2022-08-22 01:27:28,pingineer_jp,ip,23.95.122.86,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525430259425280
2022-08-22 01:27:28,pingineer_jp,domain,www1.smbsacnd.icu,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525430259425280
2022-08-22 01:27:34,pingineer_jp,domain,www2.smbscrad.icu,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525452459900928
2022-08-22 01:27:39,pingineer_jp,domain,www2.smbsacnd.icu,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525474471227392
2022-08-22 01:27:44,pingineer_jp,domain,www1.smbscrad.icu,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525496768172032
2022-08-22 01:27:50,pingineer_jp,ip,204.152.210.142,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525519023472640
2022-08-22 01:27:50,pingineer_jp,domain,direct.smbc.co.jp.yjgcp.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525519023472640
2022-08-22 01:27:55,pingineer_jp,domain,sign-in-info.sfsafgd8ghs.top,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525540917456896
2022-08-22 01:27:55,pingineer_jp,ip,155.94.129.21,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525540917456896
2022-08-22 01:28:00,pingineer_jp,domain,sign-in-info.hgsfa3gds.top,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525563327942657
2022-08-22 01:28:05,pingineer_jp,domain,av.dankkuhyer.jp,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525585205022720
2022-08-22 01:28:05,pingineer_jp,ip,202.61.137.5,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525585205022720
2022-08-22 01:28:11,pingineer_jp,domain,vicuiavisnoacucaeovvseon.vicsaszcmiureainsi.wstujx.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525607065743366
2022-08-22 01:28:16,pingineer_jp,domain,vicuiavisnoacucaeovvseon.vicsaszcmiureainsi.eugwas.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525629077815296
2022-08-22 01:28:16,pingineer_jp,ip,198.12.127.201,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525629077815296
2022-08-22 01:28:21,pingineer_jp,domain,vicavisacnnurueszovvseon.escazsmevoiursi.vstcza.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525650871431168
2022-08-22 01:28:27,pingineer_jp,domain,vicuciiacnnueuovvseon.visazceesenvsioriursi.frroav.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525677022912512
2022-08-22 01:28:27,pingineer_jp,ip,198.12.127.139,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525677022912512
2022-08-22 01:28:33,pingineer_jp,domain,vicuiaivinsoauaeovvseon.viscacsenmiureainsi.jnvwvr.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525698988486657
2022-08-22 01:28:36,ecarlesi,url,https://tounikon.com,#phishing,https://twitter.com/ecarlesi/status/1561525713576026113
2022-08-22 01:28:38,pingineer_jp,domain,vicuiaicnnureuovvseon.visazccesvsioriursi.uyyfoa.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525720782094336
2022-08-22 01:28:43,pingineer_jp,domain,vicavisacnnurueszovvseon.escazsmevoiursi.grlmkv.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525742890274816
2022-08-22 01:28:48,pingineer_jp,domain,vicuiaivanureuszovvseon.vsecnaszcmevsioriursi.rhfwsh.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525764746424320
2022-08-22 01:28:54,pingineer_jp,domain,vicucavisnoaaueovseon.visazciesnureeinsi.ggxtiz.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525786917478401
2022-08-22 01:28:59,pingineer_jp,domain,acs.vlsa-3ds.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525808883126272
2022-08-22 01:29:04,pingineer_jp,domain,vicuciavinsacucaeovseon.visceisureeinsi.qdwepk.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525830777315328
2022-08-22 01:29:09,pingineer_jp,domain,vicuciiavnisauaeovseon.visaceusenreeinsi.jueaim.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525852831363072
2022-08-22 01:29:14,pingineer_jp,domain,vicuiavisnoacucaeovvseon.vicsaszcmiureainsi.nijizu.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525874922377217
2022-08-22 01:29:20,pingineer_jp,domain,vicavisacnnurueszovvseon.escazsmevoiursi.agxyxw.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525896971841536
2022-08-22 01:29:25,pingineer_jp,domain,vicuciiavnisauureszovvseon.ceasenzcmevsioriursi.ynuzpu.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525918874554368
2022-08-22 01:29:30,pingineer_jp,domain,vicuciaccnaovuvseon.visazcmcieseeainsi.eiggzc.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525940907573248
2022-08-22 01:29:35,pingineer_jp,domain,vicuciacnnuesuzovvseon.visaczesevsiosi.sqmnsg.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525962709553152
2022-08-22 01:29:41,pingineer_jp,domain,vicuciiavnisauaeovvseon.viscemseniureainsi.wvdxil.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561525984511541248
2022-08-22 01:29:46,pingineer_jp,domain,vicuciavinsacuaeovvseon.viscecsmireainsi.dbxmic.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526006506172416
2022-08-22 01:29:51,pingineer_jp,domain,vicuiacnunresuzovvseon.visaczcsmeevsioriursi.ewhrdc.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526028627247104
2022-08-22 01:29:56,pingineer_jp,domain,vicuciiacncaouseon.visazcmiceesenainsi.zlzusf.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526050475380736
2022-08-22 01:30:02,pingineer_jp,domain,vicuiaivanureuszovvseon.vsecnaszcmevsioriursi.acysue.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526072507658240
2022-08-22 01:30:07,pingineer_jp,domain,vicuiavisnoacucaeovseon.viscazsciureeinsi.dmgbrn.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526094695903232
2022-08-22 01:30:13,pingineer_jp,domain,vicuciiacnnueuovvseon.visazceesenvsioriursi.isfnre.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526121044525057
2022-08-22 01:30:18,pingineer_jp,domain,vicavisacnnurueszovvseon.escazsmevoiursi.nmdzpk.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526142984921088
2022-08-22 01:30:24,pingineer_jp,domain,vicuciiavnisauaeovseon.visaceusenreeinsi.kvtqsz.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526165181169664
2022-08-22 01:30:29,pingineer_jp,domain,vicuciacnnuesuzovvseon.visaczesevsiosi.oijbuk.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526187373232128
2022-08-22 01:30:34,pingineer_jp,domain,vicuiaiccnaeouseon.visazcmicueseneainsi.jnvwvr.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526209363656704
2022-08-22 01:30:39,pingineer_jp,domain,vicuiaivanureuszovvseon.vsecnaszcmevsioriursi.wstujx.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526231241486336
2022-08-22 01:30:45,pingineer_jp,domain,vicuciavinsacuaeovvseon.viscecsmireainsi.okzwyp.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526253416779776
2022-08-22 01:30:50,pingineer_jp,domain,vicuiaicnnureuovvseon.visazccesvsioriursi.pksqpw.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526275222605824
2022-08-22 01:30:55,pingineer_jp,domain,vicuciiacnnueuovvseon.visazceesenvsioriursi.attlqw.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526297217896448
2022-08-22 01:31:00,pingineer_jp,domain,vicuiaiccnaeouseon.visazcmicueseneainsi.nkmpia.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526319296684032
2022-08-22 01:31:06,pingineer_jp,domain,vicuiaivinsoauaeovvseon.viscacsenmiureainsi.bjrlsn.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526341630980096
2022-08-22 01:31:07,AP_Zenmashi,url,https://american-express.login.com.vtvhzet.cn,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1561526345091321856
2022-08-22 01:31:11,pingineer_jp,domain,vicuiavisnoacucaeovvseon.vicsaszcmiureainsi.aetzyx.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526363802456064
2022-08-22 01:31:16,pingineer_jp,domain,vicuciiavnisauaeovseon.visaceusenreeinsi.nkmpia.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526385872515072
2022-08-22 01:31:22,pingineer_jp,domain,vicuciacnnuesuzovvseon.visaczesevsiosi.attlqw.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526408148426752
2022-08-22 01:31:27,pingineer_jp,domain,vicuciiacncaouseon.visazcmiceesenainsi.umfbax.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526430009544704
2022-08-22 01:31:32,pingineer_jp,domain,vicuiaiccnaeouseon.visazcmicueseneainsi.yfxcpy.za.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526451819941889
2022-08-22 01:31:37,pingineer_jp,ip,192.227.173.44,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526473986830336
2022-08-22 01:31:37,pingineer_jp,domain,vianiorcecure.visorcoecssvxarercmsvi.mrdefgv.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526473986830336
2022-08-22 01:31:43,pingineer_jp,domain,viaseescviioenrem.vsosirvsismsivi.hckjuk.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526497516855296
2022-08-22 01:31:48,pingineer_jp,domain,vioinvaoesnsiera.vocasccosucvoiei.gpuwcj.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526520279343104
2022-08-22 01:31:54,pingineer_jp,domain,vianiorcecure.visorcoecssvxarercmsvi.hymzwrr.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526542496600064
2022-08-22 01:31:59,pingineer_jp,ip,192.227.173.46,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526564730257408
2022-08-22 01:31:59,pingineer_jp,domain,viaseesxcvoerscznrem.vsosieovsismscvoiei.zuaswx.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526564730257408
2022-08-22 01:32:04,pingineer_jp,domain,viosreosnv.vsoersioirevxarevi.zikhocp.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526586960416768
2022-08-22 01:32:10,pingineer_jp,domain,viaseesxcviioerscznrem.vsosieovsismsivi.ntunhb.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526609114382337
