2026-09-24 17:40:16,it4int,url,http://third-party.com,#malware #phishing,https://x.com/it4int/status/2103177711711916095
2026-09-24 05:16:15,ThreatResq,domain,third-party.com,#ClickFix,https://x.com/ThreatResq/status/2102990474701312194
2026-09-24 05:16:15,ThreatResq,url,http://Third-party.com,#ClickFix,https://x.com/ThreatResq/status/2102990474701312194
2026-09-23 07:58:42,Ax_Sharma,domain,third-party.com,#ClickFix,https://x.com/Ax_Sharma/status/2102668968171340143
2026-09-23 07:58:42,Ax_Sharma,url,http://third-party.com,#ClickFix,https://x.com/Ax_Sharma/status/2102668968171340143
