2026-09-15 05:08:14,patialavii,domain,op.lepiceriedestoits.com,#phishing,https://x.com/patialavii/status/2099726967054709102
2026-09-15 05:08:14,patialavii,url,https://op.lepiceriedestoits.com/kirby/download.php,#phishing,https://x.com/patialavii/status/2099726967054709102
2026-09-15 05:08:14,patialavii,url,https://op.lepiceriedestoits.com/kirby/,#phishing,https://x.com/patialavii/status/2099726967054709102
