2026-09-22 04:02:35,patialavii,domain,keepgreentb.com,#phishing,https://x.com/patialavii/status/2102247161299914762
2026-09-22 04:02:35,patialavii,url,https://keepgreentb.com/doc/ScreenConnect.ClientSetup.exe,#phishing,https://x.com/patialavii/status/2102247161299914762
2026-09-22 04:02:35,patialavii,url,https://keepgreentb.com/doc/,#phishing,https://x.com/patialavii/status/2102247161299914762
