2025-04-02 19:41:37,Phish_Destroy,domain,trade.imperial-holding.com.co,#malware #phishing,https://x.com/Phish_Destroy/status/1907518805615505577
2025-04-02 19:41:37,Phish_Destroy,url,https://trade.imperial-holding.com.co,#malware #phishing,https://x.com/Phish_Destroy/status/1907518805615505577
2025-04-02 19:48:09,Phish_Destroy,domain,tornadocash.credit,#phishing,https://x.com/Phish_Destroy/status/1907520449975644351
2025-04-02 19:48:09,Phish_Destroy,url,https://tornadocash.credit,#phishing,https://x.com/Phish_Destroy/status/1907520449975644351
2025-04-02 19:59:08,Phish_Destroy,url,https://kyofynance.org,#scam #phishing #malware,https://x.com/Phish_Destroy/status/1907523211572686967
2025-04-02 19:59:08,Phish_Destroy,domain,kyofynance.org,#scam #phishing #malware,https://x.com/Phish_Destroy/status/1907523211572686967
2025-04-02 20:11:56,Phish_Destroy,domain,865124-coinbase.com,#phishing #scam,https://x.com/Phish_Destroy/status/1907526431376031906
2025-04-02 20:11:56,Phish_Destroy,url,https://865124-coinbase.com,#phishing #scam,https://x.com/Phish_Destroy/status/1907526431376031906
2025-04-02 20:15:17,Phish_Destroy,url,https://speedrug.site,#phishing,https://x.com/Phish_Destroy/status/1907527276977336791
2025-04-02 20:15:17,Phish_Destroy,domain,speedrug.site,#phishing,https://x.com/Phish_Destroy/status/1907527276977336791
2025-04-02 20:34:53,malwrhunterteam,sha256,cf3daee7f95eca5b73e6f4553aedebd87cdc9764ff66d1fdc78afc2c6e56a070,,https://x.com/malwrhunterteam/status/1907532207092076883
2025-04-02 20:35:08,Phish_Destroy,domain,relay-link.digital,#phishing #malware,https://x.com/Phish_Destroy/status/1907532271214633413
2025-04-02 20:35:08,Phish_Destroy,url,https://relay-link.digital,#phishing #malware,https://x.com/Phish_Destroy/status/1907532271214633413
2025-04-02 20:48:17,Phish_Destroy,domain,94-130-69-230.cprapid.com,#phishing,https://x.com/Phish_Destroy/status/1907535579803247075
2025-04-02 20:48:17,Phish_Destroy,url,https://94-130-69-230.cprapid.com,#phishing,https://x.com/Phish_Destroy/status/1907535579803247075
2025-04-02 20:53:41,drb_ra,url,http://120.46.192.50:443,#CobaltStrike #C2,https://x.com/drb_ra/status/1907536941051936990
2025-04-02 20:53:41,drb_ra,ip,120.46.192.50,#CobaltStrike #C2,https://x.com/drb_ra/status/1907536941051936990
