2024-03-31 06:27:08,kubotaa3,url,https://www.mabaobang.com,#phishing,https://twitter.com/kubotaa3/status/1774322519073587555
2024-03-31 06:47:12,drb_ra,ip,15.197.164.51,,https://twitter.com/drb_ra/status/1774327569078157639
2024-03-31 06:47:12,drb_ra,url,http://15.197.164.51:443,,https://twitter.com/drb_ra/status/1774327569078157639
2024-03-31 06:49:19,drb_ra,url,http://45.207.36.50:2086,,https://twitter.com/drb_ra/status/1774328103151776145
2024-03-31 06:49:19,drb_ra,ip,45.207.36.50,,https://twitter.com/drb_ra/status/1774328103151776145
2024-03-31 06:49:28,drb_ra,url,http://38.45.126.182:8888,,https://twitter.com/drb_ra/status/1774328138425590190
2024-03-31 06:49:28,drb_ra,ip,38.45.126.182,,https://twitter.com/drb_ra/status/1774328138425590190
2024-03-31 06:49:36,drb_ra,url,http://38.45.126.178:8888,,https://twitter.com/drb_ra/status/1774328171137003573
2024-03-31 06:49:36,drb_ra,ip,38.45.126.178,,https://twitter.com/drb_ra/status/1774328171137003573
2024-03-31 06:49:43,drb_ra,url,http://71.88.244.13:443,#Qakbot,https://twitter.com/drb_ra/status/1774328201793220749
2024-03-31 06:49:43,drb_ra,ip,71.88.244.13,#Qakbot,https://twitter.com/drb_ra/status/1774328201793220749
2024-03-31 06:49:50,drb_ra,ip,175.10.220.47,#Qakbot,https://twitter.com/drb_ra/status/1774328233502085178
2024-03-31 06:49:50,drb_ra,url,http://175.10.220.47:4432,#Qakbot,https://twitter.com/drb_ra/status/1774328233502085178
2024-03-31 06:49:57,drb_ra,url,http://134.209.34.122:3333,,https://twitter.com/drb_ra/status/1774328262061158565
2024-03-31 06:49:57,drb_ra,ip,134.209.34.122,,https://twitter.com/drb_ra/status/1774328262061158565
2024-03-31 06:49:58,drb_ra,url,http://16.16.187.254:80,,https://twitter.com/drb_ra/status/1774328265550778667
2024-03-31 06:49:58,drb_ra,ip,16.16.187.254,,https://twitter.com/drb_ra/status/1774328265550778667
